Date;Price;Open;High;Low;Vol.;Change;Vol
Feb222020;9655.7;9684.5;9706.5;9569.8;589.88;-0.003;589880
Feb212020;9684.5;9602.2;9747.1;9574.5;716.61;0.0085;716610
Feb202020;9602.4;9611.9;9681.4;9448.9;870.8;-0.0007;870800
Feb192020;9609.4;10158.6;10230.9;9424.3;905.95;-0.054;905950
Feb182020;10158.4;9701.5;10230.1;9601.6;945.91;0.0471;945910
Feb172020;9701.4;9931.7;9951.5;9468.9;961.88;-0.0232;961880
Feb162020;9932.3;9907.4;10056.4;9654.9;808.91;0.0025;808910
Feb152020;9907.7;10336;10369.8;9831.7;808.81;-0.0412;808810
Feb142020;10333;10235.5;10372.4;10125.2;732.51;0.0096;732510
Feb132020;10235.1;10321.9;10482.6;10116.9;940.3;-0.008;940300
Feb122020;10317.7;10229.3;10435.6;10229.3;803.25;0.0086;803250
Feb112020;10229.5;9854;10314.1;9725.1;791.28;0.0381;791280
Feb102020;9854.1;10151.5;10181.7;9774.8;781.22;-0.0293;781220
Feb092020;10151.5;9895.4;10157.1;9882.7;617.35;0.0259;617350
Feb082020;9895.5;9817.3;9931.2;9673.2;551.31;0.0078;551310
Feb072020;9818.6;9771.9;9872.5;9738.7;608.96;0.0048;608960
Feb062020;9772;9611.8;9854.9;9536.1;778.67;0.0167;778670
Feb052020;9611.8;9194.1;9726.8;9179.9;771.46;0.0454;771460
Feb042020;9193.9;9296.5;9347.5;9193.9;651.68;-0.011;651680
Feb032020;9296.6;9334.6;9582.8;9243.1;701.39;-0.0041;701390
Feb022020;9334.9;9381.5;9465.4;9183.1;683.37;-0.005;683370
Feb012020;9381.6;9349.3;9458.8;9301.5;458.42;0.0035;458420
Jan312020;9349.1;9508.3;9525;9222.3;633.37;-0.0166;633370
Jan302020;9507.3;9299.1;9569;9209.2;765.21;0.0224;765210
Jan292020;9298.9;9377.3;9428.7;9250.9;749.88;-0.0084;749880
Jan282020;9377.3;8866.6;9389.5;8866.6;954.2;0.0576;954200
Jan272020;8866.6;8608.1;8983.1;8585.6;706.45;0.0301;706450
Jan262020;8607.8;8341.6;8607.8;8304.9;468.34;0.0319;468340
Jan252020;8341.6;8439.9;8447.6;8277.2;444;-0.0117;444000
Jan242020;8439.9;8404.9;8522;8242.6;617.02;0.0041;617020
Jan232020;8405.1;8678.5;8687.3;8309.6;722.67;-0.0315;722670
Jan222020;8678.5;8733;8805.4;8610.8;509.06;-0.0062;509060
Jan212020;8732.6;8642;8770.3;8524;540.2;0.0105;540200
Jan202020;8641.9;8705.7;8740.1;8539.2;599.06;-0.0074;599060
Jan192020;8706.2;8916.3;9183.7;8552.8;975.01;-0.0236;975010
Jan182020;8916.3;8913;8982.3;8814.6;627.74;0.0004;627740
Jan172020;8913.1;8726.7;9005.1;8675.9;794.11;0.0213;794110
Jan162020;8726.9;8818.1;8850;8605.8;748.32;-0.0104;748320
Jan152020;8818.3;8827.9;8904;8615.5;1.17;-0.0012;1170000
Jan142020;8829.2;8111.2;8898.7;8111.2;1.48;0.0885;1480000
Jan132020;8111.4;8188.3;8196.7;8068.4;610.66;-0.0093;610660
Jan122020;8187.6;8023.3;8189.9;7973.1;595.22;0.0204;595220
Jan112020;8024.1;8187.8;8262.9;8008.4;776.75;-0.0199;776750
Jan102020;8187.1;7842.5;8187.4;7697.7;1.05;0.044;1050000
Jan092020;7842.4;8060;8065.9;7779.2;786.5;-0.027;786500
Jan082020;8059.6;8154.2;8436.4;7900.8;1.19;-0.0118;1190000
Jan072020;8155.7;7759.1;8182;7754.1;1.01;0.0511;1010000
Jan062020;7759.1;7372.6;7783.1;7366.7;786.75;0.0524;786750
Jan052020;7372.5;7376.8;7501;7345.6;628.14;-0.0006;628140
Jan042020;7376.8;7345.1;7433.1;7291.4;523.91;0.0046;523910
Jan032020;7343.1;6967.1;7402.9;6884.1;936.29;0.054;936290
Jan022020;6967;7199.7;7209.6;6901.4;632.78;-0.0323;632780
Jan012020;7199.8;7196.4;7259.4;7180;420.28;0.0005;420280
Dec312019;7196.4;7261.5;7331;7167.4;586.6;-0.009;586600
Dec302019;7261.8;7397.5;7420.9;7244.1;606.11;-0.0184;606110
Dec292019;7397.5;7321.6;7518.9;7303;611.69;0.0104;611690
Dec282019;7321.5;7261.9;7375.9;7256.5;610.96;0.0082;610960
Dec272019;7261.7;7210.8;7293.8;7128.5;718.07;0.007;718070
Dec262019;7210.9;7225;7414.3;7177.3;795.09;-0.0019;795090
Dec252019;7224.8;7268.3;7542.4;7150.9;625.41;-0.006;625410
Dec242019;7268.3;7322.4;7433.2;7185.7;785.54;-0.0074;785540
Dec232019;7322.8;7496.2;7684;7276.2;952.16;-0.0231;952160
Dec222019;7495.8;7156.3;7501.1;7142;677.94;0.0474;677940
Dec212019;7156.2;7196.4;7197.6;7129.6;468.74;-0.0056;468740
Dec202019;7196.4;7165.5;7218.4;7107.7;627.04;0.0043;627040
Dec192019;7165.5;7276.4;7354;7039.3;778.72;-0.0152;778720
Dec182019;7276;6613.5;7387.7;6462.2;1.14;0.1002;1140000
Dec172019;6613.3;6903.5;6943.5;6575;894.55;-0.042;894550
Dec162019;6903.5;7128.5;7153.1;6864.6;689.56;-0.0316;689560
Dec152019;7128.5;7080.8;7175.8;7033.8;492.58;0.0067;492580
Dec142019;7080.8;7255.2;7267.4;7043.3;524.56;-0.024;524560
Dec132019;7255.2;7208.4;7288;7200.3;503.49;0.0065;503490
Dec122019;7208;7208;7272.4;7124.6;611.8;0;611800
Dec112019;7208;7235.8;7284.4;7168.8;518.4;-0.0038;518400
Dec102019;7235.7;7356.2;7400.3;7192.1;609.5;-0.0163;609500
Dec092019;7355.8;7524.8;7626;7321.6;648.66;-0.0224;648660
Dec082019;7524.4;7510.8;7576.4;7416.7;499.04;0.0018;499040
Dec072019;7510.9;7530.4;7595.7;7489.6;557.14;-0.0026;557140
Dec062019;7530.8;7399.2;7552.1;7329.8;706.1;0.0178;706100
Dec052019;7399.2;7204.6;7476.3;7184;780.78;0.027;780780
Dec042019;7204.4;7291.9;7702.2;7113.6;971.75;-0.012;971750
Dec032019;7291.8;7298.1;7389.4;7227.1;548.77;-0.0009;548770
Dec022019;7298.2;7395.9;7433.8;7173.6;687.78;-0.0133;687780
Dec012019;7396.4;7546.5;7546.5;7244.4;777;-0.0199;777000
Nov302019;7546.6;7742.7;7787.7;7472.7;650.6;-0.0253;650600
Nov292019;7742.7;7426.6;7825.3;7412.3;766.71;0.0426;766710
Nov282019;7426.7;7510.6;7639.5;7380.6;737.58;-0.0112;737580
Nov272019;7510.6;7162.8;7636.9;6875.4;996.49;0.0486;996490
Nov262019;7162.8;7115.5;7329.5;7045.1;844.27;0.0066;844270
Nov252019;7115.6;6924.7;7352.8;6534.8;1.29;0.0276;1290000
Nov242019;6924.7;7325;7344.1;6894.9;904.5;-0.0545;904500
Nov232019;7324.1;7271.6;7342.5;7093.7;783.18;0.0071;783180
Nov222019;7272.5;7627.9;7700.9;6818.5;1.41;-0.0466;1410000
Nov212019;7627.9;8099.4;8129.6;7519.7;891.5;-0.0582;891500
Nov202019;8099.3;8145.7;8223;8074.2;607.27;-0.0057;607270
Nov192019;8145.7;8207.7;8245.6;8032.8;654.27;-0.0076;654270
Nov182019;8208.4;8510.3;8516.3;8110.4;692.6;-0.0354;692600
Nov172019;8509.8;8497.4;8631.7;8413;531.22;0.0015;531220
Nov162019;8497.3;8476.2;8532.8;8450.7;471.16;0.0025;471160
Nov152019;8476.3;8660.8;8761.8;8437.1;653.71;-0.0213;653710
Nov142019;8661.2;8782.9;8799.8;8615.8;515.43;-0.0139;515430
